#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.030336	0.024239	0.028685	0.023063	0.030208	0.013640	0.029589	0.030123	0.032452	0.016042	0.025796	0.030955	0.012528	0.012991	0.010859	0.019130	0.012751	0.010385
A1-MAA100039-3_11_M-1-1.fastq.gz	0.030336	0.000000	0.041774	0.062292	0.034259	0.063218	0.031665	0.062577	0.068524	0.178156	0.046223	0.033086	0.081673	0.027755	0.017432	0.013844	0.064494	0.018375	0.033721
A10-B000971-3_39_F-1-1.fastq.gz	0.024239	0.041774	0.000000	0.041115	0.041607	0.035124	0.038526	0.046155	0.045014	0.029578	0.033938	0.045132	0.044300	0.037919	0.032274	0.025671	0.035924	0.034516	0.027938
A12-D041914-3_8_M-1-1.fastq.gz	0.028685	0.062292	0.041115	0.000000	0.040402	0.083798	0.030662	0.085293	0.094344	0.061012	0.028215	0.028416	0.086243	0.035282	0.036277	0.024016	0.084642	0.024812	0.034832
A12-B001717-3_38_F-1-1.fastq.gz	0.023063	0.034259	0.041607	0.040402	0.000000	0.040633	0.035392	0.042593	0.055506	0.043071	0.030066	0.034085	0.052756	0.030998	0.028333	0.024338	0.036200	0.023398	0.037106
A1-MAA000487-3_10_M-1-1.fastq.gz	0.030208	0.063218	0.035124	0.083798	0.040633	0.000000	0.040641	0.086450	0.092858	0.067859	0.028500	0.037197	0.095101	0.030938	0.030194	0.019949	0.085289	0.026002	0.035383
A10-B002775-3_39_F-1-1.fastq.gz	0.013640	0.031665	0.038526	0.030662	0.035392	0.040641	0.000000	0.044501	0.045633	0.043047	0.024147	0.028988	0.045401	0.027838	0.028165	0.031246	0.036424	0.023863	0.035005
A11-D041914-3_8_M-1-1.fastq.gz	0.029589	0.062577	0.046155	0.085293	0.042593	0.086450	0.044501	0.000000	0.116098	0.073095	0.031495	0.033435	0.092052	0.020452	0.024102	0.026389	0.083398	0.028444	0.033018
A10-D041914-3_8_M-1-1.fastq.gz	0.030123	0.068524	0.045014	0.094344	0.055506	0.092858	0.045633	0.116098	0.000000	0.095767	0.038171	0.035206	0.108504	0.030855	0.025163	0.027723	0.099789	0.033969	0.039637
A11-MAA100041-3_9_M-1-1.fastq.gz	0.032452	0.178156	0.029578	0.061012	0.043071	0.067859	0.043047	0.073095	0.095767	0.000000	0.065615	0.031656	0.089150	0.032651	0.032270	0.025871	0.083879	0.029089	0.047727
A11-MAA100140-3_57_F-1-1.fastq.gz	0.016042	0.046223	0.033938	0.028215	0.030066	0.028500	0.024147	0.031495	0.038171	0.065615	0.000000	0.033800	0.027635	0.021946	0.022717	0.049820	0.033635	0.019394	0.033706
A10-MAA000559-3_8_M-1-1.fastq.gz	0.025796	0.033086	0.045132	0.028416	0.034085	0.037197	0.028988	0.033435	0.035206	0.031656	0.033800	0.000000	0.036023	0.052325	0.056210	0.024033	0.032210	0.034276	0.030113
A12-D042253-3_9_M-1-1.fastq.gz	0.030955	0.081673	0.044300	0.086243	0.052756	0.095101	0.045401	0.092052	0.108504	0.089150	0.027635	0.036023	0.000000	0.030679	0.030298	0.017372	0.107858	0.031765	0.039947
A11-MAA000559-3_8_M-1-1.fastq.gz	0.012528	0.027755	0.037919	0.035282	0.030998	0.030938	0.027838	0.020452	0.030855	0.032651	0.021946	0.052325	0.030679	0.000000	0.049014	0.023852	0.029523	0.047745	0.041952
A12-MAA000559-3_8_M-1-1.fastq.gz	0.012991	0.017432	0.032274	0.036277	0.028333	0.030194	0.028165	0.024102	0.025163	0.032270	0.022717	0.056210	0.030298	0.049014	0.000000	0.025927	0.028632	0.034396	0.041729
A1-B002764-3_38_F-1-1.fastq.gz	0.010859	0.013844	0.025671	0.024016	0.024338	0.019949	0.031246	0.026389	0.027723	0.025871	0.049820	0.024033	0.017372	0.023852	0.025927	0.000000	0.016087	0.016598	0.023311
A1-D042253-3_9_M-1-1.fastq.gz	0.019130	0.064494	0.035924	0.084642	0.036200	0.085289	0.036424	0.083398	0.099789	0.083879	0.033635	0.032210	0.107858	0.029523	0.028632	0.016087	0.000000	0.032980	0.039173
A1-MAA000779-3_11_M-1-1.fastq.gz	0.012751	0.018375	0.034516	0.024812	0.023398	0.026002	0.023863	0.028444	0.033969	0.029089	0.019394	0.034276	0.031765	0.047745	0.034396	0.016598	0.032980	0.000000	0.030924
A12-MAA000508-3_9_M-1-1.fastq.gz	0.010385	0.033721	0.027938	0.034832	0.037106	0.035383	0.035005	0.033018	0.039637	0.047727	0.033706	0.030113	0.039947	0.041952	0.041729	0.023311	0.039173	0.030924	0.000000
