#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.046506	0.036942	0.040970	0.030620	0.040925	0.023657	0.042126	0.044457	0.040801	0.022296	0.026585	0.045555	0.024808	0.021680	0.007556	0.041315	0.017086	0.017961
A1-MAA100039-3_11_M-1-1.fastq.gz	0.046506	0.000000	0.037482	0.079190	0.049306	0.070097	0.039024	0.071999	0.091523	0.200536	0.050895	0.028463	0.094198	0.036210	0.031867	0.013007	0.083977	0.022643	0.042129
A10-B000971-3_39_F-1-1.fastq.gz	0.036942	0.037482	0.000000	0.050880	0.051427	0.040937	0.039726	0.051953	0.050601	0.043660	0.042602	0.041934	0.034056	0.044033	0.043185	0.037365	0.040485	0.033558	0.041561
A12-D041914-3_8_M-1-1.fastq.gz	0.040970	0.079190	0.050880	0.000000	0.047417	0.089049	0.051215	0.109230	0.112574	0.068174	0.035957	0.044197	0.099910	0.040913	0.042221	0.020029	0.094067	0.034061	0.048022
A12-B001717-3_38_F-1-1.fastq.gz	0.030620	0.049306	0.051427	0.047417	0.000000	0.044000	0.038409	0.053541	0.053921	0.043719	0.029982	0.035544	0.054041	0.036160	0.035032	0.022296	0.053253	0.032417	0.037115
A1-MAA000487-3_10_M-1-1.fastq.gz	0.040925	0.070097	0.040937	0.089049	0.044000	0.000000	0.050349	0.088330	0.097248	0.070840	0.028091	0.034965	0.101143	0.038110	0.033252	0.013570	0.091247	0.024993	0.042620
A10-B002775-3_39_F-1-1.fastq.gz	0.023657	0.039024	0.039726	0.051215	0.038409	0.050349	0.000000	0.043665	0.058063	0.050011	0.033999	0.036215	0.057156	0.039813	0.029605	0.024210	0.056393	0.028728	0.037600
A11-D041914-3_8_M-1-1.fastq.gz	0.042126	0.071999	0.051953	0.109230	0.053541	0.088330	0.043665	0.000000	0.137880	0.079516	0.033569	0.033168	0.107455	0.039904	0.038316	0.021268	0.097603	0.030609	0.047092
A10-D041914-3_8_M-1-1.fastq.gz	0.044457	0.091523	0.050601	0.112574	0.053921	0.097248	0.058063	0.137880	0.000000	0.090350	0.036541	0.040594	0.127693	0.048318	0.042478	0.026320	0.122540	0.033990	0.046532
A11-MAA100041-3_9_M-1-1.fastq.gz	0.040801	0.200536	0.043660	0.068174	0.043719	0.070840	0.050011	0.079516	0.090350	0.000000	0.067137	0.031220	0.094552	0.035179	0.035733	0.009611	0.095601	0.024185	0.052401
A11-MAA100140-3_57_F-1-1.fastq.gz	0.022296	0.050895	0.042602	0.035957	0.029982	0.028091	0.033999	0.033569	0.036541	0.067137	0.000000	0.027002	0.030749	0.028527	0.022982	0.048655	0.033351	0.025364	0.031197
A10-MAA000559-3_8_M-1-1.fastq.gz	0.026585	0.028463	0.041934	0.044197	0.035544	0.034965	0.036215	0.033168	0.040594	0.031220	0.027002	0.000000	0.033628	0.060285	0.064881	0.022587	0.033904	0.031937	0.036263
A12-D042253-3_9_M-1-1.fastq.gz	0.045555	0.094198	0.034056	0.099910	0.054041	0.101143	0.057156	0.107455	0.127693	0.094552	0.030749	0.033628	0.000000	0.036393	0.041476	0.012674	0.120836	0.030015	0.051674
A11-MAA000559-3_8_M-1-1.fastq.gz	0.024808	0.036210	0.044033	0.040913	0.036160	0.038110	0.039813	0.039904	0.048318	0.035179	0.028527	0.060285	0.036393	0.000000	0.064411	0.029027	0.046699	0.037078	0.044619
A12-MAA000559-3_8_M-1-1.fastq.gz	0.021680	0.031867	0.043185	0.042221	0.035032	0.033252	0.029605	0.038316	0.042478	0.035733	0.022982	0.064881	0.041476	0.064411	0.000000	0.027665	0.045401	0.042782	0.057235
A1-B002764-3_38_F-1-1.fastq.gz	0.007556	0.013007	0.037365	0.020029	0.022296	0.013570	0.024210	0.021268	0.026320	0.009611	0.048655	0.022587	0.012674	0.029027	0.027665	0.000000	0.020682	0.031053	0.023790
A1-D042253-3_9_M-1-1.fastq.gz	0.041315	0.083977	0.040485	0.094067	0.053253	0.091247	0.056393	0.097603	0.122540	0.095601	0.033351	0.033904	0.120836	0.046699	0.045401	0.020682	0.000000	0.028932	0.059829
A1-MAA000779-3_11_M-1-1.fastq.gz	0.017086	0.022643	0.033558	0.034061	0.032417	0.024993	0.028728	0.030609	0.033990	0.024185	0.025364	0.031937	0.030015	0.037078	0.042782	0.031053	0.028932	0.000000	0.043749
A12-MAA000508-3_9_M-1-1.fastq.gz	0.017961	0.042129	0.041561	0.048022	0.037115	0.042620	0.037600	0.047092	0.046532	0.052401	0.031197	0.036263	0.051674	0.044619	0.057235	0.023790	0.059829	0.043749	0.000000
