#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.033700	0.056377	0.041674	0.032261	0.045471	0.012015	0.069686	0.089177	0.045150	0.012640	0.037339	0.054543	0.038483	0.003744	0.015740	0.044165	0.010693	0.018376
A1-MAA100039-3_11_M-1-1.fastq.gz	0.033700	0.000000	0.035792	0.057853	0.034852	0.068041	0.013610	0.105149	0.130602	0.197785	0.035418	0.034496	0.113931	0.058058	0.043295	0.043559	0.052984	0.023572	0.045447
A10-B000971-3_39_F-1-1.fastq.gz	0.056377	0.035792	0.000000	0.034983	0.059532	0.017462	0.070974	0.099892	0.057566	0.020308	0.002492	0.059032	0.050072	0.071770	0.050475	0.045008	0.021048	0.007831	0.032784
A12-D041914-3_8_M-1-1.fastq.gz	0.041674	0.057853	0.034983	0.000000	0.010149	0.049227	0.058259	0.091181	0.106462	0.064242	0.048460	0.015968	0.092624	0.033749	0.027464	0.023515	0.083232	0.023553	0.005190
A12-B001717-3_38_F-1-1.fastq.gz	0.032261	0.034852	0.059532	0.010149	0.000000	0.046902	0.077244	0.059724	0.065570	0.039743	0.051004	0.055289	0.052310	0.059136	0.072645	0.025473	0.064910	0.047955	0.000000
A1-MAA000487-3_10_M-1-1.fastq.gz	0.045471	0.068041	0.017462	0.049227	0.046902	0.000000	0.019754	0.067873	0.098515	0.087993	0.009940	0.053945	0.095121	0.054168	0.051115	0.027538	0.065164	0.035278	0.046326
A10-B002775-3_39_F-1-1.fastq.gz	0.012015	0.013610	0.070974	0.058259	0.077244	0.019754	0.000000	0.046325	0.065909	0.045845	0.033958	0.022194	0.049153	0.072805	0.031299	0.014121	0.057003	0.030594	0.038102
A11-D041914-3_8_M-1-1.fastq.gz	0.069686	0.105149	0.099892	0.091181	0.059724	0.067873	0.046325	0.000000	0.136900	0.053446	0.048248	0.054544	0.110931	0.027667	0.030457	0.034848	0.072644	0.031980	0.026019
A10-D041914-3_8_M-1-1.fastq.gz	0.089177	0.130602	0.057566	0.106462	0.065570	0.098515	0.065909	0.136900	0.000000	0.107670	0.026127	0.011978	0.124386	0.055467	0.072179	0.037568	0.073242	0.046146	0.046280
A11-MAA100041-3_9_M-1-1.fastq.gz	0.045150	0.197785	0.020308	0.064242	0.039743	0.087993	0.045845	0.053446	0.107670	0.000000	0.037698	0.035362	0.107809	0.047418	0.060248	0.017019	0.102833	0.028644	0.027173
A11-MAA100140-3_57_F-1-1.fastq.gz	0.012640	0.035418	0.002492	0.048460	0.051004	0.009940	0.033958	0.048248	0.026127	0.037698	0.000000	0.017297	0.004210	0.000000	0.029203	0.054769	0.009987	0.005210	0.006280
A10-MAA000559-3_8_M-1-1.fastq.gz	0.037339	0.034496	0.059032	0.015968	0.055289	0.053945	0.022194	0.054544	0.011978	0.035362	0.017297	0.000000	0.046359	0.051181	0.043155	0.008113	0.013619	0.052096	0.000000
A12-D042253-3_9_M-1-1.fastq.gz	0.054543	0.113931	0.050072	0.092624	0.052310	0.095121	0.049153	0.110931	0.124386	0.107809	0.004210	0.046359	0.000000	0.037903	0.022083	0.008571	0.075827	0.016405	0.035370
A11-MAA000559-3_8_M-1-1.fastq.gz	0.038483	0.058058	0.071770	0.033749	0.059136	0.054168	0.072805	0.027667	0.055467	0.047418	0.000000	0.051181	0.037903	0.000000	0.069151	0.053256	0.057519	0.057999	0.037460
A12-MAA000559-3_8_M-1-1.fastq.gz	0.003744	0.043295	0.050475	0.027464	0.072645	0.051115	0.031299	0.030457	0.072179	0.060248	0.029203	0.043155	0.022083	0.069151	0.000000	0.025542	0.039808	0.019952	0.032266
A1-B002764-3_38_F-1-1.fastq.gz	0.015740	0.043559	0.045008	0.023515	0.025473	0.027538	0.014121	0.034848	0.037568	0.017019	0.054769	0.008113	0.008571	0.053256	0.025542	0.000000	0.026527	0.026100	0.028265
A1-D042253-3_9_M-1-1.fastq.gz	0.044165	0.052984	0.021048	0.083232	0.064910	0.065164	0.057003	0.072644	0.073242	0.102833	0.009987	0.013619	0.075827	0.057519	0.039808	0.026527	0.000000	0.063241	0.043306
A1-MAA000779-3_11_M-1-1.fastq.gz	0.010693	0.023572	0.007831	0.023553	0.047955	0.035278	0.030594	0.031980	0.046146	0.028644	0.005210	0.052096	0.016405	0.057999	0.019952	0.026100	0.063241	0.000000	0.017866
A12-MAA000508-3_9_M-1-1.fastq.gz	0.018376	0.045447	0.032784	0.005190	0.000000	0.046326	0.038102	0.026019	0.046280	0.027173	0.006280	0.000000	0.035370	0.037460	0.032266	0.028265	0.043306	0.017866	0.000000
