#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.031900	0.028521	0.020175	0.035792	0.036011	0.029039	0.043914	0.041545	0.021499	0.002643	0.026895	0.023427	0.011745	0.024505	0.018613	0.033896	0.021783	0.025317
A1-MAA100039-3_11_M-1-1.fastq.gz	0.031900	0.000000	0.035550	0.081449	0.047873	0.068856	0.035040	0.054613	0.086406	0.202065	0.050124	0.000000	0.089245	0.030385	0.016401	0.020634	0.080988	0.042211	0.048969
A10-B000971-3_39_F-1-1.fastq.gz	0.028521	0.035550	0.000000	0.033053	0.020729	0.055705	0.041582	0.057440	0.066524	0.025162	0.027678	0.025021	0.029121	0.030349	0.036231	0.028339	0.037776	0.039016	0.044332
A12-D041914-3_8_M-1-1.fastq.gz	0.020175	0.081449	0.033053	0.000000	0.006362	0.086993	0.009309	0.076902	0.118059	0.065694	0.024509	0.037731	0.075639	0.035134	0.066973	0.032944	0.079446	0.019466	0.054989
A12-B001717-3_38_F-1-1.fastq.gz	0.035792	0.047873	0.020729	0.006362	0.000000	0.032431	0.040377	0.066557	0.077632	0.054617	0.030932	0.039661	0.035932	0.024831	0.024690	0.046175	0.052410	0.028109	0.051010
A1-MAA000487-3_10_M-1-1.fastq.gz	0.036011	0.068856	0.055705	0.086993	0.032431	0.000000	0.036568	0.093835	0.109624	0.086920	0.009056	0.018932	0.084701	0.032967	0.024551	0.044422	0.065369	0.024399	0.047803
A10-B002775-3_39_F-1-1.fastq.gz	0.029039	0.035040	0.041582	0.009309	0.040377	0.036568	0.000000	0.054061	0.049540	0.040836	0.002836	0.000000	0.038483	0.032856	0.022582	0.015689	0.021241	0.034240	0.065181
A11-D041914-3_8_M-1-1.fastq.gz	0.043914	0.054613	0.057440	0.076902	0.066557	0.093835	0.054061	0.000000	0.117611	0.059235	0.009857	0.032499	0.107426	0.041585	0.029940	0.019307	0.063543	0.022596	0.065045
A10-D041914-3_8_M-1-1.fastq.gz	0.041545	0.086406	0.066524	0.118059	0.077632	0.109624	0.049540	0.117611	0.000000	0.091395	0.062350	0.035960	0.103648	0.030434	0.034914	0.041853	0.108614	0.049912	0.066062
A11-MAA100041-3_9_M-1-1.fastq.gz	0.021499	0.202065	0.025162	0.065694	0.054617	0.086920	0.040836	0.059235	0.091395	0.000000	0.069008	0.015876	0.079824	0.028721	0.035541	0.015486	0.098085	0.055690	0.035049
A11-MAA100140-3_57_F-1-1.fastq.gz	0.002643	0.050124	0.027678	0.024509	0.030932	0.009056	0.002836	0.009857	0.062350	0.069008	0.000000	0.033849	0.006227	0.018184	0.011031	0.056659	0.034865	0.011149	0.059229
A10-MAA000559-3_8_M-1-1.fastq.gz	0.026895	0.000000	0.025021	0.037731	0.039661	0.018932	0.000000	0.032499	0.035960	0.015876	0.033849	0.000000	0.035632	0.044749	0.034901	0.036846	0.028629	0.043999	0.046029
A12-D042253-3_9_M-1-1.fastq.gz	0.023427	0.089245	0.029121	0.075639	0.035932	0.084701	0.038483	0.107426	0.103648	0.079824	0.006227	0.035632	0.000000	0.048076	0.022053	0.000159	0.081002	0.033605	0.046328
A11-MAA000559-3_8_M-1-1.fastq.gz	0.011745	0.030385	0.030349	0.035134	0.024831	0.032967	0.032856	0.041585	0.030434	0.028721	0.018184	0.044749	0.048076	0.000000	0.062096	0.034596	0.020709	0.058126	0.064345
A12-MAA000559-3_8_M-1-1.fastq.gz	0.024505	0.016401	0.036231	0.066973	0.024690	0.024551	0.022582	0.029940	0.034914	0.035541	0.011031	0.034901	0.022053	0.062096	0.000000	0.046807	0.042488	0.034944	0.093421
A1-B002764-3_38_F-1-1.fastq.gz	0.018613	0.020634	0.028339	0.032944	0.046175	0.044422	0.015689	0.019307	0.041853	0.015486	0.056659	0.036846	0.000159	0.034596	0.046807	0.000000	0.037480	0.022650	0.035349
A1-D042253-3_9_M-1-1.fastq.gz	0.033896	0.080988	0.037776	0.079446	0.052410	0.065369	0.021241	0.063543	0.108614	0.098085	0.034865	0.028629	0.081002	0.020709	0.042488	0.037480	0.000000	0.042670	0.060617
A1-MAA000779-3_11_M-1-1.fastq.gz	0.021783	0.042211	0.039016	0.019466	0.028109	0.024399	0.034240	0.022596	0.049912	0.055690	0.011149	0.043999	0.033605	0.058126	0.034944	0.022650	0.042670	0.000000	0.055736
A12-MAA000508-3_9_M-1-1.fastq.gz	0.025317	0.048969	0.044332	0.054989	0.051010	0.047803	0.065181	0.065045	0.066062	0.035049	0.059229	0.046029	0.046328	0.064345	0.093421	0.035349	0.060617	0.055736	0.000000
