#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.022993	0.025713	0.027849	0.058525	0.029821	0.007426	0.036540	0.036866	0.036616	0.017763	0.032998	0.021917	0.002022	0.020930	0.022136	0.020578	0.001616	0.034072
A1-MAA100039-3_11_M-1-1.fastq.gz	0.022993	0.000000	0.023909	0.048264	0.058817	0.048656	0.040091	0.052094	0.068331	0.229170	0.043357	0.000000	0.066428	0.032891	0.016535	0.017176	0.095063	0.040673	0.042319
A10-B000971-3_39_F-1-1.fastq.gz	0.025713	0.023909	0.000000	0.026333	0.032244	0.034824	0.039104	0.063607	0.102385	0.037270	0.062923	0.032288	0.028200	0.027758	0.043744	0.027898	0.034424	0.039925	0.027588
A12-D041914-3_8_M-1-1.fastq.gz	0.027849	0.048264	0.026333	0.000000	0.025535	0.080027	0.014979	0.073246	0.130805	0.092978	0.038470	0.032351	0.105138	0.017413	0.076439	0.030989	0.066495	0.010799	0.042158
A12-B001717-3_38_F-1-1.fastq.gz	0.058525	0.058817	0.032244	0.025535	0.000000	0.034914	0.053950	0.080219	0.104310	0.063892	0.032782	0.060316	0.043834	0.036448	0.027215	0.057618	0.034060	0.023859	0.076230
A1-MAA000487-3_10_M-1-1.fastq.gz	0.029821	0.048656	0.034824	0.080027	0.034914	0.000000	0.041906	0.095073	0.123818	0.084670	0.025515	0.017832	0.108852	0.040681	0.040691	0.039748	0.074659	0.008647	0.053217
A10-B002775-3_39_F-1-1.fastq.gz	0.007426	0.040091	0.039104	0.014979	0.053950	0.041906	0.000000	0.031920	0.056082	0.049001	0.021775	0.014901	0.024550	0.029590	0.019845	0.004064	0.017311	0.009215	0.075888
A11-D041914-3_8_M-1-1.fastq.gz	0.036540	0.052094	0.063607	0.073246	0.080219	0.095073	0.031920	0.000000	0.144176	0.086093	0.028977	0.050867	0.112392	0.037591	0.037686	0.031777	0.050039	0.008439	0.075285
A10-D041914-3_8_M-1-1.fastq.gz	0.036866	0.068331	0.102385	0.130805	0.104310	0.123818	0.056082	0.144176	0.000000	0.088374	0.084141	0.055242	0.119886	0.035144	0.051898	0.053348	0.087747	0.040860	0.087310
A11-MAA100041-3_9_M-1-1.fastq.gz	0.036616	0.229170	0.037270	0.092978	0.063892	0.084670	0.049001	0.086093	0.088374	0.000000	0.076653	0.053026	0.095400	0.034283	0.043595	0.030055	0.128844	0.060414	0.056489
A11-MAA100140-3_57_F-1-1.fastq.gz	0.017763	0.043357	0.062923	0.038470	0.032782	0.025515	0.021775	0.028977	0.084141	0.076653	0.000000	0.064596	0.000000	0.053716	0.038707	0.054143	0.066451	0.024109	0.064487
A10-MAA000559-3_8_M-1-1.fastq.gz	0.032998	0.000000	0.032288	0.032351	0.060316	0.017832	0.014901	0.050867	0.055242	0.053026	0.064596	0.000000	0.039592	0.033520	0.048254	0.024416	0.033073	0.040056	0.047325
A12-D042253-3_9_M-1-1.fastq.gz	0.021917	0.066428	0.028200	0.105138	0.043834	0.108852	0.024550	0.112392	0.119886	0.095400	0.000000	0.039592	0.000000	0.047434	0.046640	0.000000	0.074834	0.033865	0.051639
A11-MAA000559-3_8_M-1-1.fastq.gz	0.002022	0.032891	0.027758	0.017413	0.036448	0.040681	0.029590	0.037591	0.035144	0.034283	0.053716	0.033520	0.047434	0.000000	0.062665	0.035358	0.024681	0.054139	0.066744
A12-MAA000559-3_8_M-1-1.fastq.gz	0.020930	0.016535	0.043744	0.076439	0.027215	0.040691	0.019845	0.037686	0.051898	0.043595	0.038707	0.048254	0.046640	0.062665	0.000000	0.027203	0.052594	0.021645	0.089598
A1-B002764-3_38_F-1-1.fastq.gz	0.022136	0.017176	0.027898	0.030989	0.057618	0.039748	0.004064	0.031777	0.053348	0.030055	0.054143	0.024416	0.000000	0.035358	0.027203	0.000000	0.061485	0.032452	0.030918
A1-D042253-3_9_M-1-1.fastq.gz	0.020578	0.095063	0.034424	0.066495	0.034060	0.074659	0.017311	0.050039	0.087747	0.128844	0.066451	0.033073	0.074834	0.024681	0.052594	0.061485	0.000000	0.043955	0.082652
A1-MAA000779-3_11_M-1-1.fastq.gz	0.001616	0.040673	0.039925	0.010799	0.023859	0.008647	0.009215	0.008439	0.040860	0.060414	0.024109	0.040056	0.033865	0.054139	0.021645	0.032452	0.043955	0.000000	0.049234
A12-MAA000508-3_9_M-1-1.fastq.gz	0.034072	0.042319	0.027588	0.042158	0.076230	0.053217	0.075888	0.075285	0.087310	0.056489	0.064487	0.047325	0.051639	0.066744	0.089598	0.030918	0.082652	0.049234	0.000000
