#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.000000	0.118123	0.034684	0.009722	0.034596	0.042457	0.030590	0.089560	0.044601	0.000534	0.038877	0.000000	0.000496	0.000000	0.013519	0.034530	0.000000	0.026970
A1-MAA100039-3_11_M-1-1.fastq.gz	0.000000	0.000000	0.047137	0.056638	0.000000	0.038169	0.019441	0.095914	0.128629	0.241917	0.085164	0.026366	0.037804	0.070980	0.013931	0.091501	0.000000	0.000000	0.084238
A10-B000971-3_39_F-1-1.fastq.gz	0.118123	0.047137	0.000000	0.000000	0.063236	0.005246	0.043255	0.081632	0.119879	0.031411	0.079560	0.071849	0.026881	0.077620	0.054744	0.084323	0.000000	0.000000	0.000000
A12-D041914-3_8_M-1-1.fastq.gz	0.034684	0.056638	0.000000	0.000000	0.000456	0.039496	0.082908	0.176437	0.063043	0.051371	0.125144	0.062728	0.102626	0.060966	0.000049	0.033231	0.117108	0.066430	0.000000
A12-B001717-3_38_F-1-1.fastq.gz	0.009722	0.000000	0.063236	0.000456	0.000000	0.012341	0.033347	0.082461	0.029588	0.031966	0.081489	0.050357	0.005990	0.100169	0.065779	0.046557	0.108781	0.064128	0.000000
A1-MAA000487-3_10_M-1-1.fastq.gz	0.034596	0.038169	0.005246	0.039496	0.012341	0.000000	0.055300	0.134642	0.092007	0.190214	0.043803	0.055097	0.032711	0.027928	0.000000	0.038313	0.069962	0.000000	0.043671
A10-B002775-3_39_F-1-1.fastq.gz	0.042457	0.019441	0.043255	0.082908	0.033347	0.055300	0.000000	0.040551	0.044994	0.086428	0.105107	0.079731	0.036976	0.069232	0.015301	0.023559	0.046506	0.059296	0.010502
A11-D041914-3_8_M-1-1.fastq.gz	0.030590	0.095914	0.081632	0.176437	0.082461	0.134642	0.040551	0.000000	0.128949	0.033040	0.090682	0.062066	0.050359	0.007233	0.000000	0.031544	0.074180	0.021938	0.018735
A10-D041914-3_8_M-1-1.fastq.gz	0.089560	0.128629	0.119879	0.063043	0.029588	0.092007	0.044994	0.128949	0.000000	0.105249	0.050213	0.000000	0.000000	0.015818	0.024124	0.057857	0.016955	0.000000	0.094068
A11-MAA100041-3_9_M-1-1.fastq.gz	0.044601	0.241917	0.031411	0.051371	0.031966	0.190214	0.086428	0.033040	0.105249	0.000000	0.042841	0.102150	0.080942	0.143859	0.049492	0.013257	0.143760	0.000310	0.059888
A11-MAA100140-3_57_F-1-1.fastq.gz	0.000534	0.085164	0.079560	0.125144	0.081489	0.043803	0.105107	0.090682	0.050213	0.042841	0.000000	0.081399	0.046095	0.047145	0.034682	0.081350	0.051897	0.000000	0.061035
A10-MAA000559-3_8_M-1-1.fastq.gz	0.038877	0.026366	0.071849	0.062728	0.050357	0.055097	0.079731	0.062066	0.000000	0.102150	0.081399	0.000000	0.079190	0.072965	0.000000	0.000000	0.043420	0.061263	0.000000
A12-D042253-3_9_M-1-1.fastq.gz	0.000000	0.037804	0.026881	0.102626	0.005990	0.032711	0.036976	0.050359	0.000000	0.080942	0.046095	0.079190	0.000000	0.021667	0.000000	0.034469	0.073518	0.089217	0.002815
A11-MAA000559-3_8_M-1-1.fastq.gz	0.000496	0.070980	0.077620	0.060966	0.100169	0.027928	0.069232	0.007233	0.015818	0.143859	0.047145	0.072965	0.021667	0.000000	0.041231	0.132551	0.069298	0.084300	0.047122
A12-MAA000559-3_8_M-1-1.fastq.gz	0.000000	0.013931	0.054744	0.000049	0.065779	0.000000	0.015301	0.000000	0.024124	0.049492	0.034682	0.000000	0.000000	0.041231	0.000000	0.054994	0.000178	0.000000	0.022412
A1-B002764-3_38_F-1-1.fastq.gz	0.013519	0.091501	0.084323	0.033231	0.046557	0.038313	0.023559	0.031544	0.057857	0.013257	0.081350	0.000000	0.034469	0.132551	0.054994	0.000000	0.033595	0.087786	0.109588
A1-D042253-3_9_M-1-1.fastq.gz	0.034530	0.000000	0.000000	0.117108	0.108781	0.069962	0.046506	0.074180	0.016955	0.143760	0.051897	0.043420	0.073518	0.069298	0.000178	0.033595	0.000000	0.105289	0.061454
A1-MAA000779-3_11_M-1-1.fastq.gz	0.000000	0.000000	0.000000	0.066430	0.064128	0.000000	0.059296	0.021938	0.000000	0.000310	0.000000	0.061263	0.089217	0.084300	0.000000	0.087786	0.105289	0.000000	0.000000
A12-MAA000508-3_9_M-1-1.fastq.gz	0.026970	0.084238	0.000000	0.000000	0.000000	0.043671	0.010502	0.018735	0.094068	0.059888	0.061035	0.000000	0.002815	0.047122	0.022412	0.109588	0.061454	0.000000	0.000000
