#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.012813	0.002571	0.013483	0.050909	0.032918	0.031851	0.047638	0.030633	0.044094	0.000000	0.033786	0.017557	0.000000	0.000000	0.007536	0.001118	0.000000	0.036704
A1-MAA100039-3_11_M-1-1.fastq.gz	0.012813	0.000000	0.048182	0.091048	0.082119	0.066159	0.089835	0.116521	0.107176	0.211686	0.034389	0.000000	0.074548	0.061188	0.025481	0.028061	0.089085	0.039884	0.041532
A10-B000971-3_39_F-1-1.fastq.gz	0.002571	0.048182	0.000000	0.045607	0.028134	0.046464	0.017245	0.080077	0.085553	0.016574	0.059082	0.028435	0.016780	0.048093	0.056607	0.017707	0.030755	0.049820	0.032359
A12-D041914-3_8_M-1-1.fastq.gz	0.013483	0.091048	0.045607	0.000000	0.061658	0.085908	0.075480	0.104887	0.135296	0.136729	0.000000	0.064144	0.110175	0.022441	0.045786	0.000000	0.126415	0.029049	0.060371
A12-B001717-3_38_F-1-1.fastq.gz	0.050909	0.082119	0.028134	0.061658	0.000000	0.039522	0.085276	0.107925	0.123835	0.061134	0.013118	0.076420	0.034911	0.068679	0.047602	0.060715	0.043719	0.028114	0.083950
A1-MAA000487-3_10_M-1-1.fastq.gz	0.032918	0.066159	0.046464	0.085908	0.039522	0.000000	0.095726	0.132568	0.109496	0.083602	0.001976	0.014582	0.118843	0.068736	0.071096	0.060373	0.085870	0.013638	0.072588
A10-B002775-3_39_F-1-1.fastq.gz	0.031851	0.089835	0.017245	0.075480	0.085276	0.095726	0.000000	0.102814	0.076787	0.049151	0.019991	0.027129	0.053650	0.080734	0.082594	0.000000	0.060344	0.000000	0.143339
A11-D041914-3_8_M-1-1.fastq.gz	0.047638	0.116521	0.080077	0.104887	0.107925	0.132568	0.102814	0.000000	0.145925	0.104305	0.038153	0.037192	0.110035	0.046342	0.039373	0.036943	0.065102	0.007242	0.089259
A10-D041914-3_8_M-1-1.fastq.gz	0.030633	0.107176	0.085553	0.135296	0.123835	0.109496	0.076787	0.145925	0.000000	0.076455	0.079941	0.068264	0.130791	0.038538	0.044369	0.074702	0.049780	0.028345	0.087065
A11-MAA100041-3_9_M-1-1.fastq.gz	0.044094	0.211686	0.016574	0.136729	0.061134	0.083602	0.049151	0.104305	0.076455	0.000000	0.035685	0.045727	0.108327	0.047655	0.026141	0.002461	0.120847	0.060232	0.044432
A11-MAA100140-3_57_F-1-1.fastq.gz	0.000000	0.034389	0.059082	0.000000	0.013118	0.001976	0.019991	0.038153	0.079941	0.035685	0.000000	0.040245	0.000000	0.056231	0.016961	0.025902	0.044162	0.036427	0.084378
A10-MAA000559-3_8_M-1-1.fastq.gz	0.033786	0.000000	0.028435	0.064144	0.076420	0.014582	0.027129	0.037192	0.068264	0.045727	0.040245	0.000000	0.041133	0.056790	0.044629	0.044551	0.035475	0.070012	0.063643
A12-D042253-3_9_M-1-1.fastq.gz	0.017557	0.074548	0.016780	0.110175	0.034911	0.118843	0.053650	0.110035	0.130791	0.108327	0.000000	0.041133	0.000000	0.055316	0.049087	0.000000	0.107087	0.026810	0.054184
A11-MAA000559-3_8_M-1-1.fastq.gz	0.000000	0.061188	0.048093	0.022441	0.068679	0.068736	0.080734	0.046342	0.038538	0.047655	0.056231	0.056790	0.055316	0.000000	0.084364	0.061812	0.060186	0.033623	0.061922
A12-MAA000559-3_8_M-1-1.fastq.gz	0.000000	0.025481	0.056607	0.045786	0.047602	0.071096	0.082594	0.039373	0.044369	0.026141	0.016961	0.044629	0.049087	0.084364	0.000000	0.011654	0.061955	0.020012	0.106693
A1-B002764-3_38_F-1-1.fastq.gz	0.007536	0.028061	0.017707	0.000000	0.060715	0.060373	0.000000	0.036943	0.074702	0.002461	0.025902	0.044551	0.000000	0.061812	0.011654	0.000000	0.041951	0.027107	0.064660
A1-D042253-3_9_M-1-1.fastq.gz	0.001118	0.089085	0.030755	0.126415	0.043719	0.085870	0.060344	0.065102	0.049780	0.120847	0.044162	0.035475	0.107087	0.060186	0.061955	0.041951	0.000000	0.034482	0.117302
A1-MAA000779-3_11_M-1-1.fastq.gz	0.000000	0.039884	0.049820	0.029049	0.028114	0.013638	0.000000	0.007242	0.028345	0.060232	0.036427	0.070012	0.026810	0.033623	0.020012	0.027107	0.034482	0.000000	0.058354
A12-MAA000508-3_9_M-1-1.fastq.gz	0.036704	0.041532	0.032359	0.060371	0.083950	0.072588	0.143339	0.089259	0.087065	0.044432	0.084378	0.063643	0.054184	0.061922	0.106693	0.064660	0.117302	0.058354	0.000000
