#Names	A11-MAA000577-3_8_M-1-1.fastq.gz	A1-MAA100039-3_11_M-1-1.fastq.gz	A10-B000971-3_39_F-1-1.fastq.gz	A12-D041914-3_8_M-1-1.fastq.gz	A12-B001717-3_38_F-1-1.fastq.gz	A1-MAA000487-3_10_M-1-1.fastq.gz	A10-B002775-3_39_F-1-1.fastq.gz	A11-D041914-3_8_M-1-1.fastq.gz	A10-D041914-3_8_M-1-1.fastq.gz	A11-MAA100041-3_9_M-1-1.fastq.gz	A11-MAA100140-3_57_F-1-1.fastq.gz	A10-MAA000559-3_8_M-1-1.fastq.gz	A12-D042253-3_9_M-1-1.fastq.gz	A11-MAA000559-3_8_M-1-1.fastq.gz	A12-MAA000559-3_8_M-1-1.fastq.gz	A1-B002764-3_38_F-1-1.fastq.gz	A1-D042253-3_9_M-1-1.fastq.gz	A1-MAA000779-3_11_M-1-1.fastq.gz	A12-MAA000508-3_9_M-1-1.fastq.gz
A11-MAA000577-3_8_M-1-1.fastq.gz	0.000000	0.048120	0.040049	0.039325	0.028116	0.041405	0.027051	0.050480	0.048300	0.040445	0.022733	0.032334	0.035805	0.032613	0.015903	0.007451	0.047595	0.017275	0.023842
A1-MAA100039-3_11_M-1-1.fastq.gz	0.048120	0.000000	0.033509	0.081925	0.039041	0.064378	0.029635	0.072484	0.080605	0.203664	0.044204	0.022949	0.093715	0.031418	0.031459	0.007524	0.075325	0.022848	0.047222
A10-B000971-3_39_F-1-1.fastq.gz	0.040049	0.033509	0.000000	0.041258	0.041070	0.043337	0.033994	0.058880	0.042094	0.048262	0.034650	0.044167	0.033231	0.046636	0.044640	0.031331	0.039440	0.029046	0.038299
A12-D041914-3_8_M-1-1.fastq.gz	0.039325	0.081925	0.041258	0.000000	0.037016	0.084462	0.053611	0.106821	0.099218	0.055588	0.034789	0.044515	0.093626	0.036187	0.040323	0.012536	0.094535	0.027924	0.044233
A12-B001717-3_38_F-1-1.fastq.gz	0.028116	0.039041	0.041070	0.037016	0.000000	0.042890	0.034888	0.060306	0.045453	0.053604	0.018927	0.035044	0.044857	0.030413	0.041139	0.017580	0.052395	0.029850	0.031908
A1-MAA000487-3_10_M-1-1.fastq.gz	0.041405	0.064378	0.043337	0.084462	0.042890	0.000000	0.048928	0.086002	0.082654	0.067444	0.020394	0.032446	0.089309	0.041245	0.041906	0.006413	0.091189	0.024534	0.048405
A10-B002775-3_39_F-1-1.fastq.gz	0.027051	0.029635	0.033994	0.053611	0.034888	0.048928	0.000000	0.049723	0.054650	0.042287	0.031930	0.037221	0.053593	0.045913	0.034320	0.025446	0.059437	0.031148	0.038526
A11-D041914-3_8_M-1-1.fastq.gz	0.050480	0.072484	0.058880	0.106821	0.060306	0.086002	0.049723	0.000000	0.126884	0.082829	0.027428	0.034087	0.105480	0.050634	0.050799	0.016993	0.103806	0.029149	0.038305
A10-D041914-3_8_M-1-1.fastq.gz	0.048300	0.080605	0.042094	0.099218	0.045453	0.082654	0.054650	0.126884	0.000000	0.079200	0.028562	0.038089	0.117497	0.047420	0.042858	0.016979	0.110947	0.031063	0.042402
A11-MAA100041-3_9_M-1-1.fastq.gz	0.040445	0.203664	0.048262	0.055588	0.053604	0.067444	0.042287	0.082829	0.079200	0.000000	0.061039	0.028401	0.096004	0.035608	0.043474	0.004736	0.096819	0.028240	0.048663
A11-MAA100140-3_57_F-1-1.fastq.gz	0.022733	0.044204	0.034650	0.034789	0.018927	0.020394	0.031930	0.027428	0.028562	0.061039	0.000000	0.013263	0.024159	0.016440	0.024099	0.037046	0.020751	0.025599	0.031038
A10-MAA000559-3_8_M-1-1.fastq.gz	0.032334	0.022949	0.044167	0.044515	0.035044	0.032446	0.037221	0.034087	0.038089	0.028401	0.013263	0.000000	0.024836	0.063028	0.057607	0.013943	0.028917	0.019802	0.031339
A12-D042253-3_9_M-1-1.fastq.gz	0.035805	0.093715	0.033231	0.093626	0.044857	0.089309	0.053593	0.105480	0.117497	0.096004	0.024159	0.024836	0.000000	0.037362	0.054911	0.008952	0.114684	0.027078	0.060843
A11-MAA000559-3_8_M-1-1.fastq.gz	0.032613	0.031418	0.046636	0.036187	0.030413	0.041245	0.045913	0.050634	0.047420	0.035608	0.016440	0.063028	0.037362	0.000000	0.068130	0.024796	0.051446	0.036515	0.044131
A12-MAA000559-3_8_M-1-1.fastq.gz	0.015903	0.031459	0.044640	0.040323	0.041139	0.041906	0.034320	0.050799	0.042858	0.043474	0.024099	0.057607	0.054911	0.068130	0.000000	0.026580	0.056945	0.040044	0.054760
A1-B002764-3_38_F-1-1.fastq.gz	0.007451	0.007524	0.031331	0.012536	0.017580	0.006413	0.025446	0.016993	0.016979	0.004736	0.037046	0.013943	0.008952	0.024796	0.026580	0.000000	0.016693	0.028696	0.020466
A1-D042253-3_9_M-1-1.fastq.gz	0.047595	0.075325	0.039440	0.094535	0.052395	0.091189	0.059437	0.103806	0.110947	0.096819	0.020751	0.028917	0.114684	0.051446	0.056945	0.016693	0.000000	0.024990	0.065030
A1-MAA000779-3_11_M-1-1.fastq.gz	0.017275	0.022848	0.029046	0.027924	0.029850	0.024534	0.031148	0.029149	0.031063	0.028240	0.025599	0.019802	0.027078	0.036515	0.040044	0.028696	0.024990	0.000000	0.040038
A12-MAA000508-3_9_M-1-1.fastq.gz	0.023842	0.047222	0.038299	0.044233	0.031908	0.048405	0.038526	0.038305	0.042402	0.048663	0.031038	0.031339	0.060843	0.044131	0.054760	0.020466	0.065030	0.040038	0.000000
